episode,reward,steps,success,collision,loss,epsilon
110,-95.39999999999999,94,0.0,1.0,46.68264510530106,0.9464721295325524
111,-5.99999999999997,200,0.0,0.0,57.44091855498031,0.9459988934677862
112,-101.5,105,0.0,1.0,47.58119368013882,0.9455258940210524
113,2.000000000000038,200,0.0,0.0,53.62375391669571,0.9450531310740419
114,-95.19999999999999,132,0.0,1.0,70.56907610389206,0.9445806045085049
115,6.000000000000038,200,0.0,0.0,69.05931590856054,0.9441083142062507
116,-115.3,103,0.0,1.0,49.18333112188045,0.9436362600491477
117,-116.69999999999999,57,0.0,1.0,56.02297763657152,0.9431644419191232
118,-90.49999999999997,95,0.0,1.0,60.98793557050981,0.9426928596981636
119,-30.0000000000001,200,0.0,0.0,61.68753033321351,0.9422215132683146
120,-116.29999999999998,53,0.0,1.0,55.76595516966761,0.9417504025116805
121,-128.20000000000002,102,0.0,1.0,48.33161664027355,0.9412795273104247
122,3.9999999999999356,200,0.0,0.0,57.08356289507821,0.9408088875467696
123,-115.99999999999999,60,0.0,1.0,72.61963682050506,0.9403384831029963
124,1.1435297153639112e-14,200,0.0,0.0,54.350605535749345,0.9398683138614449
125,16.000000000000025,200,0.0,0.0,53.426353661343455,0.9393983797045142
126,-14.000000000000032,200,0.0,0.0,66.35375523923896,0.938928680514662
127,6.000000000000027,200,0.0,0.0,57.83523790892214,0.9384592161744048
128,-114.89999999999998,79,0.0,1.0,60.92889686008986,0.9379899865663176
129,-109.49999999999999,25,0.0,1.0,39.38932278484106,0.9375209915730345
130,-97.5,105,0.0,1.0,53.23614327918206,0.937052231077248
131,-92.19999999999997,122,0.0,1.0,37.77315766947558,0.9365837049617094
132,-118.19999999999999,122,0.0,1.0,54.809203300136524,0.9361154131092286
133,-3.9999999999999933,200,0.0,0.0,52.09933249926195,0.9356473554026741
134,-20.000000000000085,200,0.0,0.0,53.391166410595176,0.9351795317249728
135,-122.2,182,0.0,1.0,54.89428375516046,0.9347119419591103
136,-117.19999999999999,52,0.0,1.0,41.96415861853613,0.9342445859881309
137,-94.5,195,0.0,1.0,63.398738021690114,0.9337774636951368
138,2.6645352591003757e-15,200,0.0,0.0,64.97511961849406,0.9333105749632893
139,-92.59999999999998,106,0.0,1.0,52.48991833064916,0.9328439196758077
140,-114.09999999999998,91,0.0,1.0,80.89868050248741,0.9323774977159699
141,-95.89999999999998,169,0.0,1.0,64.93290112233726,0.9319113089671119
142,-105.89999999999999,69,0.0,1.0,70.37174868756446,0.9314453533126285
143,-114.3,53,0.0,1.0,72.86769863850665,0.9309796306359722
144,-109.6,36,0.0,1.0,65.55597196271022,0.9305141408206543
145,-107.39999999999999,74,0.0,1.0,63.63307785313275,0.9300488837502441
146,3.552713678800501e-14,200,0.0,0.0,77.75154362283646,0.9295838593083691
147,19.999999999999993,200,0.0,0.0,78.27342924065888,0.929119067378715
148,-116.49999999999999,55,0.0,1.0,79.41718618056991,0.9286545078450257
149,-1.9999999999999623,200,0.0,0.0,65.59708862576633,0.9281901805911033
150,-89.49999999999997,145,0.0,1.0,92.45976465380397,0.9277260855008077
151,-101.1,121,0.0,1.0,52.01571793740323,0.9272622224580573
152,-92.89999999999998,179,0.0,1.0,64.38104968497207,0.9267985913468284
153,5.999999999999982,200,0.0,0.0,74.25451585251838,0.926335192051155
154,19.999999999999975,200,0.0,0.0,56.705842368155714,0.9258720244551295
155,10.000000000000032,200,0.0,0.0,74.97770718315616,0.925409088442902
156,4.000000000000017,200,0.0,0.0,59.808821669742464,0.9249463838986807
157,10.000000000000062,200,0.0,0.0,51.62196014918387,0.9244839107067314
158,-82.19999999999999,182,0.0,1.0,67.74257019072117,0.9240216687513781
159,-94.8,148,0.0,1.0,66.0373231497266,0.9235596579170025
160,2.000000000000049,200,0.0,0.0,59.583068703711035,0.923097878088044
161,-95.39999999999999,94,0.0,1.0,37.258390461827844,0.9226363291490001
162,-112.1,51,0.0,1.0,71.0545804162382,0.9221750109844257
163,-114.69999999999999,77,0.0,1.0,106.85980607162823,0.9217139234789336
164,-13.999999999999954,200,0.0,0.0,75.76683860089629,0.9212530665171942
165,-111.89999999999999,149,0.0,1.0,53.459871003616776,0.9207924399839357
166,-105.99999999999999,180,0.0,1.0,68.3354373851998,0.9203320437639437
167,-107.6,96,0.0,1.0,53.574625267414376,0.9198718777420618
168,-92.99999999999999,90,0.0,1.0,75.81565497260955,0.9194119418031909
169,-130.9,199,0.0,1.0,55.45147375234557,0.9189522358322894
170,-97.19999999999999,132,0.0,1.0,77.1825204433196,0.9184927597143733
